city,outcode
Aberdeen,5E4
Aberystwyth,5E11
Aldershot,5E22
Alfreton,5E26
Ayr,5E74
Bangor,5E98
Barnsley,5E108
Basildon,5E114
Bath,5E116
Bedford,5E129
Belfast,5E133
Birmingham,5E162
Blackburn,5E167
Blackpool,5E168
Bognor Regis,5E180
Bolton,5E182
Bournemouth,5E194
Bradford,5E198
Bridgwater,5E212
Brighton,5E93554
Bristol,5E219
Broadstairs,5E221
Buckingham,5E239
Burnley,5E252
Bury,5E257
Caerphilly,5E263
Callington,5E269
Camborne,5E273
Cambridge,5E274
Canterbury,5E279
Cardiff,5E281
Carlisle,5E283
Carmarthen,5E61292
Chatham,5E302
Chelmsford,5E307
Cheltenham,5E308
Chester,5E313
Chichester,5E316
Colchester,5E347
Cork,5E77963
Cornwall,5E61294
Coventry,5E368
Cranfield,5E7338
Crewe,5E380
Derby,5E418
Devon,5E61297
Doncaster,5E430
Dover,5E435
Dublin,5E81600
Dundee,5E452
Durham,5E460
Eastbourne,5E470
Edinburgh,5E475
Egham,REPLACE
Epsom,REPLACE
Evesham,REPLACE
Exeter,5E494
Falmouth,5E502
Farnham,REPLACE
Folkestone,REPLACE
Gillingham,REPLACE
Glasgow,5E550
Gloucester,5E556
Guildford,5E580
Hartlepool,REPLACE
Hastings,REPLACE
Hatfield,REPLACE
Hertford,REPLACE
High Wycombe,REPLACE
Huddersfield,REPLACE
Hull,5E665
Ipswich,REPLACE
Keele,REPLACE
Kent,REPLACE
Kettering,REPLACE
Kingston,5E746
Lanark,REPLACE
Lancaster,5E769
Leamington Spa,REPLACE
Leeds,5E787
Leicester,5E789
Lincoln,REPLACE
Liverpool,5E813
London,5E87490
Loughborough,5E871
Loughton,REPLACE
Luton,REPLACE
Maidstone,REPLACE
Manchester,5E904
Mansfield,REPLACE
Medway,REPLACE
Middlesbrough,REPLACE
Middlesex,REPLACE
Milton Keynes,5E940
Mold,REPLACE
Newcastle,5E984
Newcastle under Lyme,REPLACE
Newport,REPLACE
Newquay,REPLACE
Northampton,REPLACE
Norwich,5E1018
Nottingham,5E1019
Ormskirk,REPLACE
Oxford,5E1036
Paisley,REPLACE
Peterborough,REPLACE
Plymouth,5E1073
Pontypridd,REPLACE
Poole,REPLACE
Portrush,REPLACE
Portsmouth,5E1089
Preston,REPLACE
Reading,5E1114
Rochester,REPLACE
Salford,REPLACE
Salisbury,REPLACE
Scarborough,REPLACE
Sheffield,5E1195
Shoreham-by-sea,REPLACE
Slough,REPLACE
Southampton,5E1231
Southend on Sea,REPLACE
Southport,REPLACE
St Albans,REPLACE
St Andrews,5E1245
St Helens,REPLACE
Stafford,REPLACE
Stevenage,REPLACE
Stirling,REPLACE
Stockton,REPLACE
Stoke,5E1271
Stratford,REPLACE
Sunderland,REPLACE
Surbiton,REPLACE
Surrey,REPLACE
Swansea,5E1305
Swindon,REPLACE
Tamworth,REPLACE
Taunton,REPLACE
Truro,REPLACE
Uxbridge,REPLACE
Wakefield,REPLACE
Walsall,REPLACE
Watford,REPLACE
Welwyn Garden City,REPLACE
Wick,REPLACE
Wigan,REPLACE
Winchester,5E1460
Windsor,REPLACE
Wolverhampton,5E1476
Worcester,REPLACE
Worthing,REPLACE
Wrexham,REPLACE
York,5E1498
